City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Georgetown,MY,2022-10-20 20:32:57,5.4112,100.3354,82.24,81,20,0.0
121,Kupino,RU,2022-10-20 20:34:42,54.3663,77.2981,39.33,90,73,5.82
122,Geraldton,AU,2022-10-20 20:31:37,-28.7667,114.6,62.35,86,31,9.4
123,San Jeronimo,PE,2022-10-20 20:34:42,-11.9472,-75.2829,62.22,52,90,2.33
124,Biankouma,CI,2022-10-20 20:34:42,7.7391,-7.6138,68.49,94,41,2.17
125,Novaya Igirma,RU,2022-10-20 20:34:42,57.1334,103.9112,30.79,95,99,3.02
126,Ankang,CN,2022-10-20 20:34:43,32.68,109.0172,55.71,74,0,1.21
127,Fortuna,US,2022-10-20 20:34:43,40.5982,-124.1573,59.92,82,0,5.75
128,Lazaro Cardenas,MX,2022-10-20 20:34:43,17.9583,-102.2,80.94,81,100,10.54
129,Kaitangata,NZ,2022-10-20 20:34:44,-46.2817,169.8464,48.0,50,96,10.16
130,Tasiilaq,GL,2022-10-20 20:34:44,65.6145,-37.6368,35.76,94,92,3.47
131,Powell River,CA,2022-10-20 20:34:44,49.8496,-124.5361,66.2,51,40,17.27
132,Shekhupura,PK,2022-10-20 20:34:44,31.7131,73.9783,66.25,52,0,7.63
133,Fort Nelson,CA,2022-10-20 20:30:30,58.8053,-122.7002,56.79,26,40,17.27
134,Namibe,AO,2022-10-20 20:34:45,-15.1961,12.1522,66.54,83,69,4.18
135,Zastron,ZA,2022-10-20 20:34:45,-30.3023,27.084,66.87,57,93,4.16
136,Dicabisagan,PH,2022-10-20 20:34:45,17.0818,122.4157,76.23,95,100,7.49
137,Faanui,PF,2022-10-20 20:34:46,-16.4833,-151.75,78.64,75,36,13.18
138,Nanortalik,GL,2022-10-20 20:34:46,60.1432,-45.2371,35.74,62,29,7.49
139,Karratha,AU,2022-10-20 20:34:46,-20.7377,116.8463,74.3,70,0,10.74
140,Tuktoyaktuk,CA,2022-10-20 20:34:47,69.4541,-133.0374,26.6,80,100,14.97
141,Saint George,US,2022-10-20 20:32:29,37.1041,-113.5841,79.79,20,0,3.44
142,Roswell,US,2022-10-20 20:30:55,34.0232,-84.3616,64.85,28,0,8.05
143,Sokolo,ML,2022-10-20 20:34:48,14.7328,-6.1219,91.02,19,100,6.53
144,Yellowknife,CA,2022-10-20 20:34:48,62.456,-114.3525,39.72,81,75,15.01
145,Axim,GH,2022-10-20 20:34:49,4.8699,-2.2405,77.52,88,25,9.24
146,Hovd,MN,2022-10-20 20:34:49,48.0056,91.6419,32.49,42,91,9.1
147,Motala,SE,2022-10-20 20:34:49,58.5371,15.0365,37.8,81,100,5.3
148,Nicoya,CR,2022-10-20 20:34:50,10.1483,-85.452,82.78,78,98,2.15
149,Ponta Do Sol,PT,2022-10-20 20:34:50,32.6667,-17.1,74.01,87,98,4.05
150,Shubarkuduk,KZ,2022-10-20 20:34:50,49.1447,56.4872,48.24,59,51,8.52
151,Wukari,NG,2022-10-20 20:34:50,7.85,9.7833,77.04,80,100,4.9
152,Necochea,AR,2022-10-20 20:34:51,-38.5473,-58.7368,60.78,74,94,13.0
153,Taft,IR,2022-10-20 20:34:51,31.7471,54.2088,64.35,22,0,2.3
154,Nouadhibou,MR,2022-10-20 20:34:51,20.931,-17.0347,73.38,73,0,14.97
155,Hobart,AU,2022-10-20 20:34:52,-42.8794,147.3294,53.46,93,40,4.61
156,Upernavik,GL,2022-10-20 20:31:13,72.7868,-56.1549,18.99,72,100,7.14
157,Chimbarongo,CL,2022-10-20 20:34:52,-34.7,-71.05,72.48,27,12,9.24
158,Hervey Bay,AU,2022-10-20 20:34:53,-25.2986,152.8535,70.02,93,13,11.01
159,Talcahuano,CL,2022-10-20 20:30:16,-36.7167,-73.1167,56.88,77,20,12.66
160,New Norfolk,AU,2022-10-20 20:34:53,-42.7826,147.0587,53.1,89,19,2.95
161,Mezen,RU,2022-10-20 20:34:53,65.8522,44.24,30.49,80,100,13.4
162,Vyartsilya,RU,2022-10-20 20:34:54,62.1764,30.693,33.62,100,100,1.99
163,Sakaiminato,JP,2022-10-20 20:34:54,35.55,133.2333,48.18,100,75,6.91
164,Tiksi,RU,2022-10-20 20:34:54,71.6872,128.8694,1.85,93,25,10.27
165,Beringovskiy,RU,2022-10-20 20:34:54,63.05,179.3167,36.81,85,64,5.64
166,Fuzhou,CN,2022-10-20 20:34:55,26.0614,119.3061,66.09,86,29,4.0
167,Padang,ID,2022-10-20 20:34:55,-0.9492,100.3543,76.28,84,100,3.09
168,Statesville,US,2022-10-20 20:34:55,35.7826,-80.8873,64.58,38,0,6.91
169,Eureka,US,2022-10-20 20:34:56,40.8021,-124.1637,83.68,64,7,6.11
170,Sibolga,ID,2022-10-20 20:34:56,1.7427,98.7792,75.6,88,100,2.71
171,Sao Filipe,CV,2022-10-20 20:34:56,14.8961,-24.4956,77.63,83,10,4.0
172,Vila,PT,2022-10-20 20:34:57,42.0304,-8.1588,54.48,89,85,10.09
173,Mahebourg,MU,2022-10-20 20:34:57,-20.4081,57.7,72.25,83,75,10.36
174,Portland,US,2022-10-20 20:32:54,45.5234,-122.6762,72.55,65,75,4.61
175,Souillac,MU,2022-10-20 20:34:57,-20.5167,57.5167,71.98,83,75,10.36
176,Svetlogorsk,BY,2022-10-20 20:34:57,52.6333,29.7333,35.02,88,12,5.57
177,Clarence Town,AU,2022-10-20 20:34:58,-32.5833,151.7833,67.98,99,100,2.42
178,Ibra,OM,2022-10-20 20:34:58,22.6906,58.5334,72.63,40,0,1.41
179,Sao Borja,BR,2022-10-20 20:34:58,-28.6606,-56.0044,68.95,92,100,6.51
180,Lompoc,US,2022-10-20 20:34:59,34.6391,-120.4579,91.54,47,0,10.36
181,Byron Bay,AU,2022-10-20 20:34:59,-28.65,153.6167,67.96,87,90,13.82
182,Camopi,GF,2022-10-20 20:34:59,3.1655,-52.3158,85.91,51,92,4.65
183,Severo-Kurilsk,RU,2022-10-20 20:34:59,50.6789,156.125,42.87,80,100,9.01
184,Ahipara,NZ,2022-10-20 20:35:00,-35.1667,173.1667,59.88,73,14,10.65
185,Flinders,AU,2022-10-20 20:35:00,-34.5833,150.8552,67.17,94,100,4.0
186,North Platte,US,2022-10-20 20:32:16,41.1239,-100.7654,78.69,16,0,14.0
187,Weiser,US,2022-10-20 20:35:00,44.251,-116.9693,71.31,28,34,3.13
188,Gat,IL,2022-10-20 20:35:02,31.61,34.7642,74.39,100,100,2.37
189,High Level,CA,2022-10-20 20:30:25,58.5169,-117.136,55.51,38,75,8.05
190,Sao Felix Do Xingu,BR,2022-10-20 20:35:02,-6.6447,-51.995,85.82,51,86,1.5
191,Burla,IN,2022-10-20 20:35:03,21.5,83.8667,67.71,68,0,4.88
192,Hofn,IS,2022-10-20 20:35:03,64.2539,-15.2082,42.15,74,100,12.62
